['vvsg/zwvlhs/srjlz', 'nrcg.pqw', 221301, 'file']
['vvsg/zwvlhs', 'srjlz', 221301, 'dir']
['vvsg/zwvlhs', 'ptsd.gzl', 101270, 'file']
['vvsg/zwvlhs', 'pghcvh', 214660, 'file']
['vvsg/zwvlhs', 'grbwdwsm.znn', 129179, 'file']
['vvsg/zwvlhs', 'gcwcp', 19923, 'file']
['vvsg/mmrfrj/wcmwrtjn/ptsd/tssm/tlllv', 'trmf.qqw', 198184, 'file']
['vvsg/mmrfrj/wcmwrtjn/ptsd/tssm', 'tlllv', 198184, 'dir']
['vvsg/mmrfrj/wcmwrtjn/ptsd/tmddnh', 'gggvq.tfc', 238434, 'file']
['vvsg/mmrfrj/wcmwrtjn/ptsd/tcjgpqj/cvdlcvq', 'qrdbsdpj.dhm', 17760, 'file']
['vvsg/mmrfrj/wcmwrtjn/ptsd/tcjgpqj/cvdlcvq', 'grbwdwsm.znn', 46978, 'file']
['vvsg/mmrfrj/wcmwrtjn/ptsd/tcjgpqj', 'tssm.wqz', 91792, 'file']
['vvsg/mmrfrj/wcmwrtjn/ptsd/tcjgpqj', 'qdtbvqjj', 39056, 'file']
['vvsg/mmrfrj/wcmwrtjn/ptsd/tcjgpqj', 'ptsd.gcn', 108056, 'file']
['vvsg/mmrfrj/wcmwrtjn/ptsd/tcjgpqj', 'nvtmgc.qgs', 232764, 'file']
['vvsg/mmrfrj/wcmwrtjn/ptsd/tcjgpqj', 'hcmj.nvp', 329232, 'file']
['vvsg/mmrfrj/wcmwrtjn/ptsd/tcjgpqj', 'cvdlcvq', 64738, 'dir']
['vvsg/mmrfrj/wcmwrtjn/ptsd/rpb/ptsd', 'llt', 55920, 'file']
['vvsg/mmrfrj/wcmwrtjn/ptsd/rpb/ptsd', 'gcwcp', 28900, 'file']
['vvsg/mmrfrj/wcmwrtjn/ptsd/rpb/lqbchlbp', 'ptsd.tjz', 151429, 'file']
['vvsg/mmrfrj/wcmwrtjn/ptsd/rpb', 'ptsd', 84820, 'dir']
['vvsg/mmrfrj/wcmwrtjn/ptsd/rpb', 'lqbchlbp', 151429, 'dir']
['vvsg/mmrfrj/wcmwrtjn/ptsd/ptsd/jdfwmhg/vmwshd', 'pfwgtmtt.ccs', 267087, 'file']
['vvsg/mmrfrj/wcmwrtjn/ptsd/ptsd/jdfwmhg/lssbmtms', 'twlqhml', 40526, 'file']
['vvsg/mmrfrj/wcmwrtjn/ptsd/ptsd/jdfwmhg/lssbmtms', 'mzlmp', 1507, 'file']
['vvsg/mmrfrj/wcmwrtjn/ptsd/ptsd/jdfwmhg/lssbmtms', 'mljfb.ggb', 198402, 'file']
['vvsg/mmrfrj/wcmwrtjn/ptsd/ptsd/jdfwmhg/lssbmtms', 'gcwcp', 95453, 'file']
['vvsg/mmrfrj/wcmwrtjn/ptsd/ptsd/jdfwmhg', 'vmwshd', 267087, 'dir']
['vvsg/mmrfrj/wcmwrtjn/ptsd/ptsd/jdfwmhg', 'lssbmtms', 335888, 'dir']
['vvsg/mmrfrj/wcmwrtjn/ptsd/ptsd/ftjhsb', 'dhgds', 56965, 'file']
['vvsg/mmrfrj/wcmwrtjn/ptsd/ptsd', 'mljfb.ggb', 96971, 'file']
['vvsg/mmrfrj/wcmwrtjn/ptsd/ptsd', 'lqgtvmrl.qbj', 304012, 'file']
['vvsg/mmrfrj/wcmwrtjn/ptsd/ptsd', 'jdfwmhg', 602975, 'dir']
['vvsg/mmrfrj/wcmwrtjn/ptsd/ptsd', 'ftjhsb', 56965, 'dir']
['vvsg/mmrfrj/wcmwrtjn/ptsd/ptjnh', 'ptsd', 82840, 'file']
['vvsg/mmrfrj/wcmwrtjn/ptsd/ptjnh', 'grbwdwsm.znn', 306974, 'file']
['vvsg/mmrfrj/wcmwrtjn/ptsd/pszlt', 'dbblsg.mzr', 154368, 'file']
['vvsg/mmrfrj/wcmwrtjn/ptsd/jtlrn', 'jznz.dwf', 30046, 'file']
['vvsg/mmrfrj/wcmwrtjn/ptsd/jtlrn', 'grbwdwsm.znn', 124888, 'file']
['vvsg/mmrfrj/wcmwrtjn/ptsd', 'tssm', 198184, 'dir']
['vvsg/mmrfrj/wcmwrtjn/ptsd', 'tmddnh', 238434, 'dir']
['vvsg/mmrfrj/wcmwrtjn/ptsd', 'tcjgpqj', 865638, 'dir']
['vvsg/mmrfrj/wcmwrtjn/ptsd', 'rpb', 236249, 'dir']
