57 - ckmb52fldxkseven3fkjgcbzmnr7                       - ckmb52fldxkse7ven3fkjgcbzmnr7                     
61 - gckhqpb6twoqnjxqplthree2fourkspnsnzxlz1            - gckhqpb6t2oqnjxqplth3ee2fo4urkspnsnzxlz1          
27 - 2onetwocrgbqm7                                     - 2o1et2ocrgbqm7                                    
25 - frkh2nineqmqxrvdsevenfive                          - frkh2ni9neqmqxrvdse7venfi5ve                      
42 - four9two                                           - fo4ur9t2o                                         
61 - six7sixqrdfive3twonehsk                            - si6x7si6xqrdfi5ve3t2o1ehsk                        
12 - xkvsone2                                           - xkvso1e2                                          
15 - one65                                              - o1e65                                             
17 - rggxsff1seven                                      - rggxsff1se7ven                                    
43 - djbcgrrtqdshpqqzj43rgcr                            - djbcgrrtqdshpqqzj43rgcr                           
83 - br89fivetwoqggnxjfourtl3                           - br89fi5vet2oqggnxjfo4urtl3                        
14 - zoneight47five5sixjxd74                            - zo1ei8ght47fi5ve5si6xjxd74                        
41 - 4five1                                             - 4fi5ve1                                           
54 - 5seveneighteightzzbnzsvdjnkvndsxlttfour            - 5se7venei8ghtei8ghtzzbnzsvdjnkvndsxlttfo4ur       
13 - htdcmsl12ninethreepkqtdlvtl                        - htdcmsl12ni9neth3eepkqtdlvtl                      
29 - twocghtvtdlfchfqnjhrfour19                         - t2ocghtvtdlfchfqnjhrfo4ur19                       
23 - rptwofiveonecvlldmppxtrvj3                         - rpt2ofi5veo1ecvlldmppxtrvj3                       
66 - 6gqsvsqpzxj                                        - 6gqsvsqpzxj                                       
52 - 5twomgkzsvg                                        - 5t2omgkzsvg                                       
41 - 4ninedflntfsn1                                     - 4ni9nedflntfsn1                                   
43 - 4threethree                                        - 4th3eeth3ee                                       
49 - 43two6eight9                                       - 43t2o6ei8ght9                                     
45 - 4gqnkntjthree9one45                                - 4gqnkntjth3ee9o1e45                               
93 - 9lmjgqnkxqvfrzhbcfrlltjxjlkjfrlmb3                 - 9lmjgqnkxqvfrzhbcfrlltjxjlkjfrlmb3                
92 - ninethreejkcbplfg4kseventwo                        - ni9neth3eejkcbplfg4kse7vent2o                     
28 - mbkfgktwolbvsptgsixseven1oneightzvm                - mbkfgkt2olbvsptgsi6xse7ven1o1ei8ghtzvm            
55 - m5fvqfkkk                                          - m5fvqfkkk                                         
77 - tptqnsxmsevencrkdmxms55zrfmpmzv7lzqlnmbkzt         - tptqnsxmse7vencrkdmxms55zrfmpmzv7lzqlnmbkzt       
87 - bqccqhbdgeight7                                    - bqccqhbdgei8ght7                                  
48 - four7nine1eight                                    - fo4ur7ni9ne1ei8ght                                
88 - 8fivethndnpztzninepdkfive8                         - 8fi5vethndnpztzni9nepdkfi5ve8                     
11 - 1sixxvqdfourlnpdrfbnnx41vhqgth                     - 1si6xxvqdfo4urlnpdrfbnnx41vhqgth                  
99 - sgpkgdb9                                           - sgpkgdb9                                          
59 - fivetwoq7cdprnjdjhs3three9                         - fi5vet2oq7cdprnjdjhs3th3ee9                       
11 - 1mfvptbhqshblvvvdl                                 - 1mfvptbhqshblvvvdl                                
84 - ztftqgbzld8jkcmsrdfzonemzdmbzxpfour                - ztftqgbzld8jkcmsrdfzo1emzdmbzxpfo4ur              
42 - dfkctqcjbmfourhszmlvtkeightthree2                  - dfkctqcjbmfo4urhszmlvtkei8ghtth3ee2               
